java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/RememberMeController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_remember_me_controller.rs,sa-token-demo-axum-case,RememberMeController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/SafeAuthController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_safe_auth_controller.rs,sa-token-demo-axum-case,SafeAuthController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/SearchSessionController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_search_session_controller.rs,sa-token-demo-axum-case,SearchSessionController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/SecureController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_secure_controller.rs,sa-token-demo-axum-case,SecureController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/up/SwitchToController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_up_switch_to_controller.rs,sa-token-demo-axum-case,SwitchToController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/AtCheckController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_at_check_controller.rs,sa-token-demo-axum-case,AtCheckController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/JurAuthController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_jur_auth_controller.rs,sa-token-demo-axum-case,JurAuthController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/KickoutController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_kickout_controller.rs,sa-token-demo-axum-case,KickoutController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/LoginAuthController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_login_auth_controller.rs,sa-token-demo-axum-case,LoginAuthController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/cases/use/RouterCheckController.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_cases_use_router_check_controller.rs,sa-token-demo-axum-case,RouterCheckController,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
